"","result.fit"
"npar",15
"fmin",0.0471459376820782
"chisq",12.4465275480686
"df",9
"pvalue",0.189290229821659
"baseline.chisq",192.106963175395
"baseline.df",21
"baseline.pvalue",0
"cfi",0.979857467609102
"tli",0.953000757754571
"logl",-470.563730657114
"unrestricted.logl",-464.340466883079
"aic",971.127461314228
"bic",1014.36949015302
"ntotal",132
"bic2",966.924250858273
"rmsea",0.0538620224713503
"rmsea.ci.lower",0
"rmsea.ci.upper",0.119331136127021
"rmsea.ci.level",0.9
"rmsea.pvalue",0.407899078258744
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",0.302952998862548
"rmsea.notclose.h0",0.08
"srmr",0.0282215576254018
